"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C4,C17","3","10u","","","","Capacitor_SMD:C_0805_2012Metric",""
"C2,C3","2","15p","","","","Capacitor_SMD:C_0402_1005Metric",""
"C5,C6,C7,C9,C11,C12,C13,C14,C15,C16","10","100n","","","","Capacitor_SMD:C_0402_1005Metric",""
"C8,C10","2","1u","","","","Capacitor_SMD:C_0402_1005Metric",""
"H1,H2,H3,H4","4","MountingHole","","","","MountingHole:MountingHole_2.7mm_M2.5",""
"J1","1","USB_B_Micro","","","","RP2040_minimal:USB_Micro-B_Amphenol_10103594-0001LF_Horizontal_modified",""
"J2","1","Conn_01x02","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"J3,J4","2","Conn_02x18_Odd_Even","","","","Connector_PinHeader_2.54mm:PinHeader_2x18_P2.54mm_Vertical",""
"R1,R5","2","1k","","","","Resistor_SMD:R_0402_1005Metric",""
"R2","1","DNF","","","","Resistor_SMD:R_0402_1005Metric",""
"R3,R4","2","27","","","","Resistor_SMD:R_0402_1005Metric",""
"U1","1","NCP1117-3.3_SOT223","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.onsemi.com/pub_link/Collateral/NCP1117-D.PDF"
"U2","1","W25Q128JVS","","","","Package_SO:SOIC-8_5.23x5.23mm_P1.27mm","http://www.winbond.com/resource-files/w25q128jv_dtr%20revc%2003272018%20plus.pdf"
"U3","1","RP2040","","","","RP2040_minimal:RP2040-QFN-56",""
"Y1","1","ABM8-272-T3","","","","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm",""
